Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Jurickson Profar","SDP",668,0.113772455,0.151197604,0.752475247,0.280141843,0.380090497,0.459219858,0.839310355,0.179078015,3.6232297817421055,0.301801801,,,-0.0163241159170866,-0.7540415599942207,107.77482664995253,29.633474801111813,0.365296050431334,139.21265650053607,"Jurickson Profar",10815,595777
"Seiya Suzuki","CHC",585,0.107692307,0.273504273,0.39375,0.283203125,0.365811965,0.482421875,0.84823384,0.19921875,5.7790041590865755,0.370149253,-1.7000000476837158,1.899999976158142,-0.3057202100753784,-0.4691487178206444,94.18438053726358,25.752208633712957,0.36487284691882704,137.79655534262386,"Seiya Suzuki",30116,673548
"Francisco Lindor","NYM",689,0.081277213,0.184325108,0.440944881,0.273462783,0.343976777,0.5,0.843976777,0.226537217,5.650956853192346,0.295010845,1.5999999046325684,1,1.1123279333114624,2.885617181658745,109.82636414417776,29.228472791107027,0.36288581496572286,137.42724248761272,"Francisco Lindor",12916,596019
"Freddie Freeman","LAD",638,0.122257053,0.156739811,0.78,0.282287822,0.377742946,0.47601476,0.853757706,0.193726938,4.09725074533176,0.306074766,,,-1.0581315755844116,-0.3754018619656563,102.96599371057994,28.33398401063927,0.36535710949207906,137.2753370528749,"Freddie Freeman",5361,518692
"Kyle Schwarber","PHI",692,0.15317919,0.28468208,0.538071065,0.247818499,0.365606936,0.485165794,0.85077273,0.237347295,2.8862746911738246,0.300578034,0.19999998807907104,0.5,-0.6971478462219238,-1.7066870406270027,111.93187423265138,30.98304866469064,0.36580757077696713,135.29060144829,"Kyle Schwarber",16478,656941
"Riley Greene","DET",584,0.109589041,0.267123287,0.41025641,0.26171875,0.34819897,0.478515625,0.826714595,0.216796875,4.895374963546641,0.329341317,-0.10000002384185791,1.7000000476837158,0.983812689781189,-1.1386292055249214,89.56901136052309,21.253817528602468,0.35539623961366457,134.9744115098804,"Riley Greene",25976,682985
"Fernando Tatis Jr.","SDP",438,0.07305936,0.219178082,0.333333333,0.276381909,0.340182648,0.492462311,0.832644959,0.216080402,4.890185383196064,0.315602836,1.2000001072883606,0.699999988079071,-0.13729825615882874,0.14838403463363647,68.36771196224737,17.13131658830689,0.3587745542395605,134.82324254002185,"Fernando Tatis Jr.",19709,665487
"Rafael Devers","BOS",601,0.111480865,0.244592346,0.455782312,0.272380952,0.354409317,0.516190476,0.870599793,0.243809524,4.6673906424774545,0.323033707,-1.4999998807907104,-0.6000000238418579,-0.4473094642162323,-0.44179974496364594,96.35161241729715,26.047791367666516,0.36402783280133794,134.05972820492894,"Rafael Devers",17350,646240
"Teoscar Hernández","LAD",652,0.081288343,0.288343558,0.281914893,0.271646859,0.339477726,0.500848896,0.840326622,0.229202037,4.415695283835049,0.344173441,0,1,0.5983631610870361,-0.006774969398975372,102.33031413060182,26.06061142784112,0.359840165041847,133.5620552725716,"Teoscar Hernandez",13066,606192
"Mark Vientos","NYM",454,0.072687224,0.297356828,0.244444444,0.266343825,0.321585903,0.515738498,0.837324401,0.249394673,1.18811575875,0.32421875,-2.200000047683716,1.2000000476837158,-1.2151336669921875,-0.7655649706721306,69.85096623373086,16.74292171371037,0.35599902613572615,132.7919615421706,"Mark Vientos",22184,668901
"Tyler Fitzgerald","SFG",341,0.064516129,0.316715542,0.203703703,0.280254777,0.33431085,0.496815286,0.831126136,0.216560509,6.771793595235699,0.380208333,2.5000001192092896,1.399999976158142,2.739807367324829,1.1643654704093933,52.66909832736127,12.779575901530903,0.35674211146894436,131.74547207410086,"Tyler Fitzgerald",26208,666149
"Tyler O'Neill","BOS",473,0.112050739,0.336152219,0.333333333,0.240875912,0.336152219,0.510948905,0.847101124,0.270072993,3.6434285382550886,0.304932735,-2.0000001192092896,-1.899999976158142,-0.7230340838432312,-0.028704337775707245,74.16980287099642,18.839174990005912,0.35966480504243803,130.9906853790256,"Tyler O'Neill",15711,641933
"Steven Kwan","CLE",540,0.098148148,0.094444444,1.039215686,0.291666666,0.368029739,0.425,0.793029739,0.133333334,5.102867599411571,0.303614457,1.2999999970197678,0.20000000298023224,1.1134488582611084,-0.9272817000746727,80.23567458205726,17.067515901856677,0.3494486094185854,130.84328170592786,"Steven Kwan",24610,680757
"William Contreras","MIL",679,0.114874815,0.204712812,0.561151079,0.280672268,0.365243004,0.465546218,0.830789222,0.18487395,4.415599497166965,0.330275229,-0.5,-2.9000000953674316,-2.1613447666168213,-0.4385412409901619,105.95967461599218,26.53156397922146,0.3587271837346278,130.742438133437,"William Contreras",20503,661388
"Lawrence Butler","OAK",451,0.077605321,0.239467849,0.324074074,0.262135922,0.31707317,0.490291262,0.807364432,0.22815534,6.401089869307945,0.3006993,-0.30000001192092896,-0.6000000238418579,0.9630005359649658,2.850219927728176,65.2400382918453,12.482927986714817,0.3445680385946963,130.1370832211039,"Lawrence Butler",22542,671732
"Rob Refsnyder","BOS",307,0.091205211,0.254071661,0.358974358,0.283088235,0.359477124,0.470588235,0.830065359,0.1875,2.6665623043587594,0.358695652,-1.7000001668930054,-0.6000000238418579,-0.14728429913520813,-1.0414066016674042,47.8072512372587,11.894983246848373,0.35831892098251145,130.04396304607926,"Rob Refsnyder",13770,608701
"Jackson Merrill","SDP",593,0.048903878,0.170320404,0.287128712,0.292418772,0.32597623,0.5,0.82597623,0.207581228,6.132499834830481,0.31797235,0.7000000476837158,2.9000000953674316,2.7707135677337646,0.9589659124612808,89.09346624302768,19.725469766437037,0.351507786788097,129.9322099362613,"Jackson Merrill",29490,701538
"David Fry","CLE",392,0.107142857,0.214285714,0.5,0.262686567,0.356410256,0.447761194,0.80417145,0.185074627,3.66504375887377,0.307053941,-0.2999999523162842,-1,-0.8841663002967834,-0.4100334793329239,57.54231136206904,11.686907283108631,0.34722092886662853,129.27628571273445,"David Fry",24934,681807
"Anthony Santander","BAL",665,0.087218045,0.193984962,0.449612403,0.235294117,0.308270676,0.505882352,0.814153028,0.270588235,3.2090874754210423,0.224824355,-1.2000000476837158,0.699999988079071,-2.0664591789245605,-0.633907325565815,96.5210349187663,18.730617284815597,0.3451743663437777,129.21764224262694,"Anthony Santander",14551,623993
